Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,synthetic_rows,cascade_layers,n_estimators,train_time
0.8875,0.4835003136260758,0.6694292374738353,0.5030477971799896,0.8574722681164169,1,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21597,3,80,7.398976564407349
0.88,0.4634714616257927,0.6394376254051186,0.4779503579431097,0.8483735896998985,1,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21597,3,80,7.398976564407349
0.8625,0.4534126712625619,0.6070307746926045,0.4433726140228893,0.8285791671741759,1,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21597,3,80,7.398976564407349
0.71275,0.30438274355251344,0.4038770873864575,0.3245495071733881,0.6665112861761211,1,interpolation,deepforest_kmeans_smote_full,1.0,8000,21597,3,80,7.398976564407349
0.9007352941176471,0.5,0.7094406461772661,0.4854047078716682,0.853895753335375,1,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21597,3,80,7.398976564407349
0.9080882352941176,0.4117647058823529,0.6733379054783467,0.4079146489104116,0.8661564135717846,1,extrapolation,deepforest_kmeans_smote_margin,0.02,544,21597,3,80,7.398976564407349
0.9019607843137255,0.4085131195335277,0.6630343750851393,0.4006648970888995,0.8578283253599946,1,extrapolation,deepforest_kmeans_smote_margin,0.03,816,21597,3,80,7.398976564407349
0.9022058823529412,0.40347513885374875,0.616850753622854,0.39854733282745586,0.8586830732292916,1,extrapolation,deepforest_kmeans_smote_margin,0.05,1360,21597,3,80,7.398976564407349
0.8933823529411765,0.38045517272329493,0.5728893839542253,0.38259628460385114,0.8477526673152715,1,extrapolation,deepforest_kmeans_smote_margin,0.08,2176,21597,3,80,7.398976564407349
0.8867647058823529,0.3036882637173335,0.5435783415650418,0.31368685360197407,0.8422360459882906,1,extrapolation,deepforest_kmeans_smote_margin,0.1,2720,21597,3,80,7.398976564407349
0.8909926470588235,0.3345831192700376,0.5471371927762716,0.37075102975296986,0.8502606006625248,1,extrapolation,deepforest_kmeans_smote_margin,0.2,5440,21597,3,80,7.398976564407349
0.8958333333333334,0.30355284817243616,0.5407268084855198,0.3384076280082482,0.858277122346569,1,extrapolation,deepforest_kmeans_smote_margin,0.3,8160,21597,3,80,7.398976564407349
0.8915441176470589,0.2733143076323749,0.5224939809251679,0.31101922122945713,0.8538188047619639,1,extrapolation,deepforest_kmeans_smote_margin,0.4,10880,21597,3,80,7.398976564407349
0.8661764705882353,0.22742913790834005,0.48293132589016563,0.26090394325310035,0.8224706947813306,1,extrapolation,deepforest_kmeans_smote_margin,0.5,13600,21597,3,80,7.398976564407349
0.6504779411764706,0.17176682288701914,0.36137114733386966,0.15740874725369647,0.5647376881918091,1,extrapolation,deepforest_kmeans_smote_full,1.0,27200,21597,3,80,7.398976564407349
0.725,0.3333333333333333,0.0,0.2801932367149758,0.6094202898550725,2,interpolation,deepforest_kmeans_smote_margin,0.01,80,21597,3,80,7.581764221191406
0.78125,0.3333333333333333,0.0,0.29239766081871343,0.6853070175438596,2,interpolation,deepforest_kmeans_smote_margin,0.02,160,21597,3,80,7.581764221191406
0.8333333333333334,0.25,0.0,0.22727272727272727,0.7575757575757576,2,interpolation,deepforest_kmeans_smote_margin,0.03,240,21597,3,80,7.581764221191406
0.8925,0.2,0.0,0.18863936591809777,0.8418031704095112,2,interpolation,deepforest_kmeans_smote_margin,0.05,400,21597,3,80,7.581764221191406
0.903125,0.5096735502711723,0.61940910010288,0.5197492700379024,0.8660660034148184,2,interpolation,deepforest_kmeans_smote_margin,0.08,640,21597,3,80,7.581764221191406
0.91125,0.602709459852317,0.6810688938072975,0.6133042903970425,0.8781344768705068,2,interpolation,deepforest_kmeans_smote_margin,0.1,800,21597,3,80,7.581764221191406
0.89875,0.6009151882423771,0.6545795791064173,0.6061359960825825,0.8692682648017953,2,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21597,3,80,7.581764221191406
0.88625,0.5788205927147839,0.6119987254040465,0.5908153066616789,0.8520100994531283,2,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21597,3,80,7.581764221191406
0.8715625,0.4880466188382427,0.568336684301219,0.5309330670470832,0.8325593675301062,2,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21597,3,80,7.581764221191406
0.8545,0.45424042010151233,0.5375841589142353,0.4962051284891091,0.8120710155606018,2,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21597,3,80,7.581764221191406
0.71075,0.3388881738627942,0.399225798355684,0.36866976681366864,0.6745092711805551,2,interpolation,deepforest_kmeans_smote_full,1.0,8000,21597,3,80,7.581764221191406
0.9558823529411765,0.2,0.0,0.19548872180451127,0.9343210968597965,2,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21597,3,80,7.581764221191406
