Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,knn,train_time
0.553375,0.27604499164797525,0.2994868086654064,0.2583314356267086,0.5830484966883668,4,interpolation,graph_feature_full,1.0,8000,62,8,1.7871065139770508
0.9669117647058824,0.6,0.7366906063175351,0.5722602739726027,0.951003475020145,4,extrapolation,graph_feature_margin,0.01,272,62,8,1.7871065139770508
0.9577205882352942,0.42083333333333334,0.6089027566091795,0.4343472952168605,0.940143967285911,4,extrapolation,graph_feature_margin,0.02,544,62,8,1.7871065139770508
0.9558823529411765,0.36796536796536794,0.5496081280940285,0.37825689313748095,0.9364402644651916,4,extrapolation,graph_feature_margin,0.03,816,62,8,1.7871065139770508
0.9573529411764706,0.2926587301587302,0.5101574461507774,0.3134637693461223,0.9396055005484072,4,extrapolation,graph_feature_margin,0.05,1360,62,8,1.7871065139770508
0.9434742647058824,0.29273504273504275,0.4690012245203419,0.31155295705502106,0.919698720900351,4,extrapolation,graph_feature_margin,0.08,2176,62,8,1.7871065139770508
0.9378676470588235,0.28617021276595744,0.4262979119532836,0.30457526376914357,0.9113912862006007,4,extrapolation,graph_feature_margin,0.1,2720,62,8,1.7871065139770508
0.9207720588235294,0.25018382352941176,0.3469616963652998,0.275512629863193,0.8873532620213598,4,extrapolation,graph_feature_margin,0.2,5440,62,8,1.7871065139770508
0.9084558823529412,0.24458466096483872,0.38828966594176206,0.2707871932466882,0.8719012707174094,4,extrapolation,graph_feature_margin,0.3,8160,62,8,1.7871065139770508
0.8953125,0.20280988496286279,0.502022654949302,0.21106401575364453,0.8569652733313953,4,extrapolation,graph_feature_margin,0.4,10880,62,8,1.7871065139770508
0.8521323529411765,0.23342976498931264,0.5825111381237112,0.22992404868601246,0.8050264644795615,4,extrapolation,graph_feature_margin,0.5,13600,62,8,1.7871065139770508
0.6324632352941176,0.23480745180113513,0.40909170677212836,0.2012996745535688,0.6120857116369611,4,extrapolation,graph_feature_full,1.0,27200,62,8,1.7871065139770508
0.9625,0.5,0.4936303131655808,0.5491039426523298,0.9482795698924731,5,interpolation,graph_feature_margin,0.01,80,62,8,1.6896445751190186
0.96875,0.375,0.4043785510862518,0.4126730564430245,0.955457933972311,5,interpolation,graph_feature_margin,0.02,160,62,8,1.6896445751190186
0.9583333333333334,0.4,0.4740279461663456,0.43211206896551724,0.9410739942528735,5,interpolation,graph_feature_margin,0.03,240,62,8,1.6896445751190186
0.9425,0.2857142857142857,0.33452936897091834,0.31403372243839167,0.9176076523994812,5,interpolation,graph_feature_margin,0.05,400,62,8,1.6896445751190186
0.9328125,0.25,0.3172892518945705,0.2719369736484651,0.9030002037489812,5,interpolation,graph_feature_margin,0.08,640,62,8,1.6896445751190186
0.9325,0.34117647058823525,0.43281858298282605,0.38693609022556386,0.9039668703007518,5,interpolation,graph_feature_margin,0.1,800,62,8,1.6896445751190186
0.9125,0.3572114110650646,0.4539359284752402,0.4101547791267737,0.8806478403465305,5,interpolation,graph_feature_margin,0.2,1600,62,8,1.6896445751190186
0.8979166666666667,0.3752298997791495,0.5047845579766626,0.4279389022019776,0.8705505373666207,5,interpolation,graph_feature_margin,0.3,2400,62,8,1.6896445751190186
0.8846875,0.4783679499248601,0.6003955809572025,0.530290181948175,0.8687703566263414,5,interpolation,graph_feature_margin,0.4,3200,62,8,1.6896445751190186
0.85575,0.5259083513657591,0.6036425623820217,0.5597717625901524,0.8478143041218104,5,interpolation,graph_feature_margin,0.5,4000,62,8,1.6896445751190186
0.6515,0.40396715098596414,0.4115754298536445,0.38312020789942647,0.6699740101253696,5,interpolation,graph_feature_full,1.0,8000,62,8,1.6896445751190186
0.9632352941176471,0.45,0.5297304245149967,0.4674693705111956,0.9468364024950918,5,extrapolation,graph_feature_margin,0.01,272,62,8,1.6896445751190186
0.9669117647058824,0.2916666666666667,0.49535090916773045,0.30668827077144656,0.9522247462311957,5,extrapolation,graph_feature_margin,0.02,544,62,8,1.6896445751190186
0.9607843137254902,0.25438596491228066,0.48092548613839203,0.2782336679761385,0.9453768368980068,5,extrapolation,graph_feature_margin,0.03,816,62,8,1.6896445751190186
0.9463235294117647,0.20816326530612245,0.4159300270770786,0.22850501577303964,0.9246174364470792,5,extrapolation,graph_feature_margin,0.05,1360,62,8,1.6896445751190186
0.9329044117647058,0.1946169772256729,0.37296237455445475,0.21382642299849924,0.9059129654142389,5,extrapolation,graph_feature_margin,0.08,2176,62,8,1.6896445751190186
0.9290441176470589,0.18888888888888888,0.3519479834177468,0.20717155623089473,0.9003510196433442,5,extrapolation,graph_feature_margin,0.1,2720,62,8,1.6896445751190186
0.9240808823529412,0.17246160639053734,0.3462381884302027,0.19198665398674214,0.8933437658416415,5,extrapolation,graph_feature_margin,0.2,5440,62,8,1.6896445751190186
0.9094362745098039,0.23383064094502742,0.4474692267593143,0.2627616721695869,0.87569529247587,5,extrapolation,graph_feature_margin,0.3,8160,62,8,1.6896445751190186
0.8805147058823529,0.3158023934017501,0.5858464001892247,0.3177144843701292,0.8442224136257361,5,extrapolation,graph_feature_margin,0.4,10880,62,8,1.6896445751190186
0.8210294117647059,0.2926644841747201,0.5852981764875083,0.2610058657305123,0.7750309224076217,5,extrapolation,graph_feature_margin,0.5,13600,62,8,1.6896445751190186
0.6408823529411765,0.24593889694429347,0.42601863750723457,0.20788502288950542,0.6255140463192362,5,extrapolation,graph_feature_full,1.0,27200,62,8,1.6896445751190186
0.8625,0.375,0.2892291027842398,0.3578767123287671,0.8042808219178081,6,interpolation,graph_feature_margin,0.01,80,62,8,1.7568178176879883
0.86875,0.41666666666666663,0.289780420890087,0.39965986394557823,0.8105017006802722,6,interpolation,graph_feature_margin,0.02,160,62,8,1.7568178176879883
0.8916666666666667,0.41666666666666663,0.2652343562891794,0.40274684484038603,0.8424832962138085,6,interpolation,graph_feature_margin,0.03,240,62,8,1.7568178176879883
0.8975,0.31666666666666665,0.41671212080546005,0.2944485505461116,0.85040034491254,6,interpolation,graph_feature_margin,0.05,400,62,8,1.7568178176879883
0.90625,0.3148148148148148,0.45128970677298313,0.2923857868020305,0.863489847715736,6,interpolation,graph_feature_margin,0.08,640,62,8,1.7568178176879883
0.89375,0.24571428571428572,0.41140806270691577,0.23259859192402188,0.8479946247607794,6,interpolation,graph_feature_margin,0.1,800,62,8,1.7568178176879883
0.8975,0.22722365512159176,0.5541150059846234,0.2144551004042355,0.8558104143822725,6,interpolation,graph_feature_margin,0.2,1600,62,8,1.7568178176879883
0.8958333333333334,0.23060028800214682,0.6145850232136658,0.21972384223470393,0.8550695151161299,6,interpolation,graph_feature_margin,0.3,2400,62,8,1.7568178176879883
0.880625,0.27272669025149904,0.6041977685470517,0.28670659552055056,0.8448622720397342,6,interpolation,graph_feature_margin,0.4,3200,62,8,1.7568178176879883
0.85225,0.28725399481064384,0.5989798292435231,0.31365243126050757,0.8271962239004739,6,interpolation,graph_feature_margin,0.5,4000,62,8,1.7568178176879883
0.658125,0.33019770758961403,0.406414985959601,0.30525208906121326,0.6702834719305796,6,interpolation,graph_feature_full,1.0,8000,62,8,1.7568178176879883
0.9227941176470589,0.6666666666666666,0.3514216892610484,0.6898452611218568,0.8872297758561839,6,extrapolation,graph_feature_margin,0.01,272,62,8,1.7568178176879883
0.9448529411764706,0.6153846153846154,0.5432218477345645,0.6506272949816401,0.9221444353445172,6,extrapolation,graph_feature_margin,0.02,544,62,8,1.7568178176879883
0.9399509803921569,0.5166666666666667,0.6457891344846807,0.5367470541583372,0.9153906550902342,6,extrapolation,graph_feature_margin,0.03,816,62,8,1.7568178176879883
0.9419117647058823,0.4366666666666667,0.6633925064618424,0.45115672003164803,0.9191043174608555,6,extrapolation,graph_feature_margin,0.05,1360,62,8,1.7568178176879883
0.9361213235294118,0.4242050015436863,0.6041846166778796,0.43982613958350525,0.9111598101112195,6,extrapolation,graph_feature_margin,0.08,2176,62,8,1.7568178176879883
0.9297794117647059,0.36146137410093593,0.5810193355314558,0.37649035101741885,0.9021289327810532,6,extrapolation,graph_feature_margin,0.1,2720,62,8,1.7568178176879883
0.919485294117647,0.2916745412955175,0.5189213892511106,0.31203718194812835,0.8889132610210941,6,extrapolation,graph_feature_margin,0.2,5440,62,8,1.7568178176879883
0.9066176470588235,0.2717370194581487,0.5162568315448837,0.30804711650013605,0.8732297041220773,6,extrapolation,graph_feature_margin,0.3,8160,62,8,1.7568178176879883
0.8863051470588236,0.22084016516861735,0.5970410311448706,0.23729982249188433,0.8487486008898407,6,extrapolation,graph_feature_margin,0.4,10880,62,8,1.7568178176879883
0.8458823529411764,0.23876379243822352,0.6175327190038978,0.22867648303314594,0.8014858439348231,6,extrapolation,graph_feature_margin,0.5,13600,62,8,1.7568178176879883
0.6459191176470588,0.23010762622463987,0.43188270782302624,0.190327575491136,0.6237038200096551,6,extrapolation,graph_feature_full,1.0,27200,62,8,1.7568178176879883
0.8875,0.25,0.0,0.23509933774834438,0.8346026490066226,7,interpolation,graph_feature_margin,0.01,80,62,8,1.7788119316101074
0.9375,0.3333333333333333,0.29691670548591664,0.3668831168831169,0.9103896103896105,7,interpolation,graph_feature_margin,0.02,160,62,8,1.7788119316101074
0.9416666666666667,0.25,0.2542840050466801,0.27396551724137935,0.9158800287356321,7,interpolation,graph_feature_margin,0.03,240,62,8,1.7788119316101074
0.94,0.325,0.40876339973413595,0.34757983530829484,0.9138245631652941,7,interpolation,graph_feature_margin,0.05,400,62,8,1.7788119316101074
0.93125,0.30666666666666664,0.38536982725981916,0.3319173200285103,0.9019191019244476,7,interpolation,graph_feature_margin,0.08,640,62,8,1.7788119316101074
0.9325,0.3142857142857143,0.4187533093918028,0.33835861904193043,0.9040383466730378,7,interpolation,graph_feature_margin,0.1,800,62,8,1.7788119316101074
0.893125,0.4288920180077888,0.502722216157797,0.4566534914361001,0.8514277009222662,7,interpolation,graph_feature_margin,0.2,1600,62,8,1.7788119316101074
0.8675,0.4848308942946555,0.6040043510676877,0.5048586433637278,0.8181376740139147,7,interpolation,graph_feature_margin,0.3,2400,62,8,1.7788119316101074
0.834375,0.4245594101718883,0.6321293901149403,0.46081839485178866,0.774877168708326,7,interpolation,graph_feature_margin,0.4,3200,62,8,1.7788119316101074
0.78725,0.37763348064978497,0.5722473123281631,0.4173181462768125,0.7369396143849448,7,interpolation,graph_feature_margin,0.5,4000,62,8,1.7788119316101074
0.612125,0.4209527038068965,0.371520636581638,0.44104778839089226,0.6050616356304488,7,interpolation,graph_feature_full,1.0,8000,62,8,1.7788119316101074
0.9779411764705882,0.5,0.0,0.4944237918215613,0.9670347692980538,7,extrapolation,graph_feature_margin,0.01,272,62,8,1.7788119316101074
0.9724264705882353,0.5,0.0,0.4930102516309413,0.958832437914588,7,extrapolation,graph_feature_margin,0.02,544,62,8,1.7788119316101074
0.9718137254901961,0.4,0.3386399082216669,0.3971303805364941,0.9579227979401368,7,extrapolation,graph_feature_margin,0.03,816,62,8,1.7788119316101074
0.9698529411764706,0.21666666666666667,0.25942374622918835,0.2410333151073892,0.9561984009696428,7,extrapolation,graph_feature_margin,0.05,1360,62,8,1.7788119316101074
0.9655330882352942,0.19727891156462585,0.30788537725255255,0.21916037656231394,0.9502510400833446,7,extrapolation,graph_feature_margin,0.08,2176,62,8,1.7788119316101074
0.9632352941176471,0.2057142857142857,0.312031876975225,0.22747243563339842,0.9467713164932514,7,extrapolation,graph_feature_margin,0.1,2720,62,8,1.7788119316101074
