Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,epochs,hidden,heads,knn,train_time
0.9669117647058824,0.485202455528865,0.8830609147848563,0.48792527004923075,0.9577042457194518,5,extrapolation,resgat_margin,0.03,816,80,96,4,4,1.523071050643921
0.9669117647058824,0.4919827437788873,0.8819571742163886,0.4390021888068672,0.957199009072998,5,extrapolation,resgat_margin,0.05,1360,80,96,4,4,1.523071050643921
0.9535845588235294,0.43594633549613854,0.8467716422654848,0.39895890342437135,0.9417523277806898,5,extrapolation,resgat_margin,0.08,2176,80,96,4,4,1.523071050643921
0.9091911764705882,0.433314338270799,0.7435109260823284,0.3621758418908627,0.8943727744042932,5,extrapolation,resgat_margin,0.1,2720,80,96,4,4,1.523071050643921
0.8110294117647059,0.3254866817184796,0.6043900563377271,0.2697046940356184,0.8008514603037843,5,extrapolation,resgat_margin,0.2,5440,80,96,4,4,1.523071050643921
0.7552696078431372,0.2795063967694209,0.5576012174402417,0.23731529716328761,0.7489863489576444,5,extrapolation,resgat_margin,0.3,8160,80,96,4,4,1.523071050643921
0.7248161764705883,0.28427245793748024,0.5296699734587623,0.2360710958106791,0.7201538848623166,5,extrapolation,resgat_margin,0.4,10880,80,96,4,4,1.523071050643921
0.6961764705882353,0.2854647094460729,0.5046222447587025,0.24110951641593492,0.693033197476648,5,extrapolation,resgat_margin,0.5,13600,80,96,4,4,1.523071050643921
0.5556985294117647,0.26098643637832913,0.381430305084559,0.1952113901737128,0.572058839521113,5,extrapolation,resgat_full,1.0,27200,80,96,4,4,1.523071050643921
0.9625,0.4,0.49523041562182146,0.3961290322580645,0.9441129032258064,6,interpolation,resgat_margin,0.01,80,80,96,4,4,1.5171949863433838
0.975,0.4,0.44467535342053083,0.3974522292993631,0.9626592356687897,6,interpolation,resgat_margin,0.02,160,80,96,4,4,1.5171949863433838
0.9833333333333333,0.5,0.5751271049660855,0.4985875706214689,0.9750706214689265,6,interpolation,resgat_margin,0.03,240,80,96,4,4,1.5171949863433838
