Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.90625,0.1666666666666666,0.0,0.1584699453551912,0.8616803278688524,5,interpolation,pdsmvknn_margin,0.08,640
0.89,0.1666666666666666,0.0,0.1569664902998236,0.8382010582010581,5,interpolation,pdsmvknn_margin,0.1,800
0.85875,0.1449579831932773,0.0876234256815903,0.1361273187360143,0.7947129263651003,5,interpolation,pdsmvknn_margin,0.2,1600
0.8391666666666666,0.1260548523206751,0.0667179676672117,0.1161768767004728,0.7667816226667085,5,interpolation,pdsmvknn_margin,0.3,2400
0.809375,0.128858917722832,0.0764062392169663,0.1199565751919995,0.7291434994905994,5,interpolation,pdsmvknn_margin,0.4,3200
0.7905,0.1322346661230479,0.0923382363165198,0.1253122447215622,0.707531372597205,5,interpolation,pdsmvknn_margin,0.5,4000
0.65775,0.1709408306211588,0.2433583574622259,0.1710670726862615,0.5936315657754572,5,interpolation,pdsmvknn_full,1.0,8000
0.8308823529411765,0.1736111111111111,0.3806339423974709,0.1725233769258926,0.7636906964043478,5,extrapolation,pdsmvknn_margin,0.01,272
0.8345588235294118,0.1605263157894736,0.4242435344874719,0.156296163392243,0.7702513711593904,5,extrapolation,pdsmvknn_margin,0.02,544
0.8517156862745098,0.1614035087719298,0.4473598712722581,0.1591036414565826,0.7942206294282419,5,extrapolation,pdsmvknn_margin,0.03,816
0.8514705882352941,0.159375,0.4423858811869944,0.1582617255693059,0.7942700465131933,5,extrapolation,pdsmvknn_margin,0.05,1360
0.8575367647058824,0.1580838323353293,0.4601837174842955,0.1578641740250507,0.804092135489566,5,extrapolation,pdsmvknn_margin,0.08,2176
0.85625,0.1564814814814815,0.4592822453457207,0.1560020084936189,0.8030899786624783,5,extrapolation,pdsmvknn_margin,0.1,2720
0.852389705882353,0.1432801586197793,0.4620977813784948,0.1397976758186682,0.7983988844806982,5,extrapolation,pdsmvknn_margin,0.2,5440
0.836764705882353,0.1309005889490662,0.450615952323518,0.1251385866217714,0.7781252641901831,5,extrapolation,pdsmvknn_margin,0.3,8160
0.8138786764705882,0.1304641151276357,0.4336320412038447,0.1221628108843189,0.7488061931769538,5,extrapolation,pdsmvknn_margin,0.4,10880
