Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.6166666666666667,0.5383715567222904,0.4393805572301606,0.3606588284244445,0.6774373332445387,4,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3352,2.1134910583496094
0.5821875,0.4193333143802215,0.4009752923315312,0.34117587229886537,0.6406489866532086,4,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3352,2.1134910583496094
0.577,0.3982989502737617,0.3931698448456036,0.33438410859986045,0.6287976784959637,4,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3352,2.1134910583496094
0.494625,0.34611904799403925,0.2834050980056133,0.2835105615645029,0.5447088140609916,4,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3352,2.1134910583496094
0.6029411764705882,0.20591517857142858,0.3196359926279511,0.13597297297297298,0.6667042925278219,4,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3352,2.1134910583496094
0.7297794117647058,0.37527901785714285,0.4126519808494583,0.2589980543399336,0.7697041157982064,4,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3352,2.1134910583496094
0.7928921568627451,0.42222463321519255,0.4899849446936001,0.301856266674856,0.8274952952064352,4,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3352,2.1134910583496094
0.8294117647058824,0.4583928934600075,0.6321487271333508,0.3328360355895048,0.845526168379837,4,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3352,2.1134910583496094
0.8511029411764706,0.4887935179162511,0.7377262718771087,0.37181526200593207,0.8529459420749024,4,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3352,2.1134910583496094
0.8496323529411764,0.5429991296808857,0.7433019312234925,0.43244267849093926,0.8480612218597526,4,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,3352,2.1134910583496094
0.8295955882352941,0.44013294930640473,0.7233919006863049,0.35063157035390347,0.8223731607837742,4,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,3352,2.1134910583496094
0.8198529411764706,0.4143792236541456,0.7079525130023007,0.32659065478566696,0.8101256046293872,4,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,3352,2.1134910583496094
0.7965992647058824,0.4008350226539424,0.6763090000683496,0.3035623263335584,0.7839953019416755,4,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,3352,2.1134910583496094
0.7791176470588236,0.3666017166709901,0.6512213916818791,0.2789366134944183,0.7649704629286048,4,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,3352,2.1134910583496094
0.65125,0.30781787389096493,0.4824028746320889,0.21825291774038247,0.6469460027172378,4,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,3352,2.1134910583496094
0.7,0.36,0.590896137666186,0.2874516307352128,0.6814262023217247,5,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3022,1.986769437789917
0.675,0.5729166666666666,0.5999078345962889,0.3798733779225976,0.6626603766506604,5,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3022,1.986769437789917
0.6875,0.6138051550895588,0.6348621091877709,0.378969298787138,0.6555651448616273,5,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3022,1.986769437789917
0.69,0.6062996530047334,0.6199902567487449,0.3779720366160216,0.6767209550940815,5,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3022,1.986769437789917
0.7140625,0.6549595017553941,0.6292602089525804,0.41165389573107497,0.7234098299984308,5,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3022,1.986769437789917
